Country,Tree Cover Loss (ha),Tree Cover Loss (mha),Rate of loss per year (%),REDD+ phase 1 and 2 finance (USD million),Development finance (USD million),Results-based REDD+ finance commitments (USD million),Results-based REDD+ finance disbursements (USD million),Results-based REDD+ finance commitments (USD million) - bilateral,Results-based REDD+ finance disbursements (USD) - bilateral,FCPF Carbon Fund commitments based on LoIs and average price of 5USD,BioCarbon Fund ISFL,REDD+ phase 1 and 2 bilateral finance (USD million commitments/disbursements),REDD+ phase 1 and 2 bilateral finance (commitments/disbursements?),REDD+ phase 1 and 2 finance commitments (USD million) - multilateral
Rwanda,12071,0.012071,0.004,0,19,0,0,,,,,0,,0
Saint Kitts and Nevis,52,0.000052,0.0007,0,,0,0,,,,,0,,
Saint Lucia,313,0.000313,0.001,0,,0,0,,,,,0,,
Saint Vincent and the Grenadines,147,0.000147,0.0008,0,,0,0,,,,,0,,
San Marino,1,0.000001,0.0002,0,,0,0,,,,,0,,
Senegal,1350,0.00135,0.0057,0,4,0,0,,,,,0,,
Serbia,18152,0.018152,0.0011,0,1,0,0,,,,,0,,
Seychelles,4,0.000004,0.0001,0,,0,0,,,,,0,,
Sierra Leone,623620,0.62362,0.0185,0,,0,0,,,,,0,,
Singapore,582,0.000582,0.0052,0,,0,0,,,,,0,,
Solomon Islands,62466,0.062466,0.0038,1,8,0,0,,,,,0,,1
Somalia,1024,0.001024,0.002,0,0,0,0,,,,,0,,
South Africa,412465,0.412465,0.0115,0,,0,0,,,,,0,,
South Korea,82313,0.082313,0.0026,0,,0,0,,,,,0,,
South Sudan,33678,0.033678,0.0005,0,0,0,0,,,,,0,,
Sri Lanka,64102,0.064102,0.0027,4,0,0,0,,,,,0,,4
Sudan,283,0.000283,0.0006,4,0,0,0,,,,,0,,4
Suriname,69071,0.069071,0.0008,4,1,0,0,,,,,0,,4
Swaziland,24112,0.024112,0.0086,0,0,0,0,,,,,0,,
Syria,10389,0.010389,0.0163,0,,0,0,,,,,0,,
Tajikistan,59,0.000059,0.0002,0,0,0,0,,,,,0,,
Tanzania,922424,0.922424,0.0058,65,23,0,0,,,,,17,17000000,48
Thailand,687214,0.687214,0.0057,6,5,0,0,,,,,0,,6
Timor-Leste,7207,0.007207,0.0017,0,5,0,0,,,,,0,,
Togo,9936,0.009936,0.003,5.376,7,0,0,,,,,1.376,1376000,4
Trinidad and Tobago,7492,0.007492,0.0032,0,,0,0,,,,,0,,
Tunisia,9582,0.009582,0.0071,0,2,0,0,,,,,0,,
Turkmenistan,36,0.000036,0.0006,0,,0,0,,,,,0,,
Uganda,285131,0.285131,0.0061,6,22,0,0,,,,,0,,6
Uruguay,139669,0.139669,0.0137,4,40,0,0,,,,,0,,4
Uzbekistan,229,0.000229,0.0004,0,3,0,0,,,,,0,,
Vanuatu,6335,0.006335,0.0009,4,1,0,0,,,,,0,,4
Venezuela,508621,0.508621,0.0015,0,8,0,0,,,,,0,,
Vietnam,1054323,1.054323,0.0106,25.185,168,51.5,0,,,51.5,,3.185,3185000,22
Zambia,651755,0.651755,0.0045,18,16,30,0,,,,30,0,,18
Zimbabwe,61015,0.061015,0.0072,0,0,0,0,,,,,0,,
